C,10, Yes,11,746,464,0.000117
C,20, Yes,10,380,1472,0.000318
C,30, Yes,9,119,3376,0.000687
C,40, Yes,12,298,8994,0.00182
C,50, Yes,10,171,9753,0.002141
C,100, Yes,8,52,29913,0.01136
C,200, Yes,10,78,158798,0.093775
C,300, Yes,10,38,294263,0.234074
C,400, Yes,9,26,410826,0.431191
C,500, Yes,7,14,321052,0.387829
C,1000, Yes,10,13,2494922,6.126296
C,1100, Yes,9,10,2877567,7.893416
C,1100, Yes,9,10,2877567,7.961841
C,1200, Yes,8,16,1845475,5.401677
C,1300, Yes,6,21,3045829,9.615347
C,1400, Yes,7,16,2770771,8.93565
C,1500, Yes,9,12,5424284,19.274257
C,2000, Yes,8,16,5315727,25.390287
C,3000, Yes,9,12,16949732,132.345784
C,4000, Yes,9,9,59125924,804.974372
C,5000, Yes,8,8,32597329,559.094785
C,6000, Yes,7,8,125540793,2376.130935
C,7000, Yes,7,8,73616686,1460.272029
